"projectID";"topic";"title"
"872706";"SwafS-20-2018-2019";"Building the SwafS knowledge base"
"654942";"MSCA-IF-2014-EF";"Marie Skłodowska-Curie Individual Fellowships (IF-EF)"
"742909";"ERC-2016-ADG";"ERC Advanced Grant"
"824310";"MG-2-5-2018";"Innovative technologies for improving aviation safety and certification in icing conditions (InCo flagship)"
"892654";"MSCA-IF-2019";"Individual Fellowships"
"645900";"NMP-36-2014";"Facilitating knowledge management, networking and coordination in NMP"
"870186";"IBA-EURATOM-DONES-2019";"Support for the preparatory phase for the DEMO Orientated Early Neutron Source IFMIF/DONES"
"731102";"EINFRA-22-2016";"User-driven e-infrastructure innovation"
"101023202";"BBI-2020-SO2-R2";"Develop integral fractionation of lignocellulose to produce components for high-value applications"
"795289";"MSCA-IF-2017";"Individual Fellowships"
"851188";"ERC-2019-STG";"ERC Starting Grant"
"948390";"ERC-2020-STG";"ERC STARTING GRANTS"
"841351";"MSCA-IF-2018";"Individual Fellowships"
"950101";"ERC-2020-STG";"ERC STARTING GRANTS"
"702731";"MSCA-IF-2015-GF";"Marie Skłodowska-Curie Individual Fellowships (IF-GF)"
"805041";"ERC-2018-STG";"ERC Starting Grant"
"817806";"LC-BG-03-2018";"Sustainable harvesting of marine biological resources"
"101003766";"LC-CLA-21-2020";"Coordination of European Polar research"
"750570";"MSCA-IF-2016";"Individual Fellowships"
"875006";"LC-MG-1-7-2019";"Future propulsion and integration: towards a hybrid/electric aircraft (InCo flagship)"
"759194";"ERC-2017-STG";"ERC Starting Grant"
"951754";"INFRADEV-01-2019-2020";"Design Studies"
"810172";"ERC-2018-SyG";"ERC Synergy Grant"
"700385";"DRS-22-2015";"Ethical/Societal Dimension topic 3: Impact of climate change in third countries on Europe's security"
"821896";"SPACE-20-SCI-2018";"Scientific instrumentation and technologies enabling space science and exploration"
"892293";"MSCA-IF-2019";"Individual Fellowships"
"654132";"MSCA-IF-2014-GF";"Marie Skłodowska-Curie Individual Fellowships (IF-GF)"
"730943";"INFRASUPP-01-2016";"Policy and international cooperation measures for research infrastructures"
"823937";"MSCA-RISE-2018";"Research and Innovation Staff Exchange"
"858101";"MSCA-ITN-2019";"Innovative Training Networks"
"875489";"LC-BAT-3-2019";"Modelling and simulation for Redox Flow Battery development"
"742608";"ERC-2016-ADG";"ERC Advanced Grant"
"898972";"MSCA-IF-2019";"Individual Fellowships"
"886171";"DT-NMBP-12-2019";"Sustainable Nano-Fabrication (CSA)"
"949087";"ERC-2020-STG";"ERC STARTING GRANTS"
"835852";"MSCA-IF-2018";"Individual Fellowships"
"768929";"ERC-2017-PoC";"ERC-Proof of Concept"
"951459";"ERC-2020-SyG";"ERC Synergy Grant"
"821263";"JTI-CS2-2017-CfP07-SYS-01-09";"Obstruction detection Sensor for Modular surveillance active Trajectory check improvement"
"835087";"ERC-2018-ADG";"ERC Advanced Grant"
"771237";"ERC-2017-COG";"ERC Consolidator Grant"
"101006726";"MSCA-RISE-2020";"Research and Innovation Staff Exchange"
"844837";"MSCA-IF-2018";"Individual Fellowships"
"101036107";"MSCA-NIGHT-2020bis";"European Researchers' Night"
"815289";"LC-SC3-RES-11-2018";"Developing solutions to reduce the cost and increase performance of renewable technologies"
"955895";"MSCA-ITN-2020";"Innovative Training Networks"
"681434";"ERC-CoG-2015";"ERC Consolidator Grant"
"814958";"LC-SC3-RES-11-2018";"Developing solutions to reduce the cost and increase performance of renewable technologies"
"841047";"MSCA-IF-2018";"Individual Fellowships"
"836270";"MSCA-IF-2018";"Individual Fellowships"
"892463";"MSCA-IF-2019";"Individual Fellowships"
"839039";"MSCA-IF-2018";"Individual Fellowships"
"863410";"INFRAEOSC-02-2019";"Prototyping new innovative services"
"771589";"ERC-2017-COG";"ERC Consolidator Grant"
"685474";"BIOTEC-6-2015";"Metagenomics as innovation driver"
"835472";"MSCA-IF-2018";"Individual Fellowships"
"777630";"S2R-OC-IP3-03-2017";"Satellite and autonomous monitoring systems’ solution"
"798768";"MSCA-IF-2017";"Individual Fellowships"
"101000991";"ERC-2020-COG";"ERC CONSOLIDATOR GRANTS"
"852669";"ERC-2019-STG";"ERC Starting Grant"
"716562";"ERC-2016-STG";"ERC Starting Grant"
"742102";"ERC-2016-ADG";"ERC Advanced Grant"
"948240";"ERC-2020-STG";"ERC STARTING GRANTS"
"636202";"MG-1.1-2014";"Competitiveness of European Aviation through cost efficiency and innovation"
"721798";"MSCA-ITN-2016";"Innovative Training Networks"
"949916";"ERC-2020-STG";"ERC STARTING GRANTS"
"745673";"MSCA-IF-2016";"Individual Fellowships"
"950618";"ERC-2020-STG";"ERC STARTING GRANTS"
"812788";"MSCA-ITN-2018";"Innovative Training Networks"
"824424";"LC-SC3-ES-3-2018-2020";"Integrated local energy systems (Energy islands)"
"837626";"LC-SC3-CC-5-2018";"Research, innovation and educational capacities for energy transition"
"734340";"MSCA-RISE-2016";"Research and Innovation Staff Exchange"
"955684";"MSCA-ITN-2020";"Innovative Training Networks"
"731143";"MSCA-RISE-2016";"Research and Innovation Staff Exchange"
"851560";"ERC-2019-STG";"ERC Starting Grant"
"851006";"ERC-2019-STG";"ERC Starting Grant"
"825829";"ERC-2018-PoC";"ERC Proof of Concept Grant"
"681605";"ERC-CoG-2015";"ERC Consolidator Grant"
"896319";"MSCA-IF-2019";"Individual Fellowships"
"730254";"SCC-04-2016";"Sustainable urbanisation"
"101034266";"MSCA-COFUND-2020";"Co-funding of regional, national and international programmes"
"817574";"BG-01-2018";"Towards a Baltic and North Sea research and innovation programme"
"726744";"WIDESPREAD-02-2016";"Support to JPI Urban Europe"
"646112";"NMP-39-2014";"Support for NCPs"
"659316";"MSCA-IF-2014-EF";"Marie Skłodowska-Curie Individual Fellowships (IF-EF)"
"852791";"ERC-2019-STG";"ERC Starting Grant"
"838537";"MSCA-IF-2018";"Individual Fellowships"
"875629";"LC-BAT-2-2019";"Strengthening EU materials technologies for non-automotive battery storage (RIA)"
"741874";"SwafS-02-2016";"ERA-NET Cofund – Promoting Gender equality in H2020 and the ERA"
"800192";"MSCA-IF-2017";"Individual Fellowships"
"834252";"MSCA-IF-2018";"Individual Fellowships"
"864550";"ERC-2019-COG";"ERC Consolidator Grant"
"101016926";"IBA-SwafS-Support-1-2020";"Support for the Research and Innovation Dimension of European Universities (Part I)"
"863322";"FETOPEN-01-2018-2019-2020";"FET-Open Challenging Current Thinking"
"958417";"DT-FOF-07-2020";"Assembly of micro parts (RIA)"
"955901";"MSCA-ITN-2020";"Innovative Training Networks"
"101007578";"MSCA-RISE-2020";"Research and Innovation Staff Exchange"
"802777";"ERC-2018-STG";"ERC Starting Grant"
"757912";"ERC-2017-STG";"ERC Starting Grant"
"746361";"MSCA-IF-2016";"Individual Fellowships"
"838994";"MSCA-IF-2018";"Individual Fellowships"
"871155";"SwafS-01-2018-2019-2020";"Open schooling and collaboration on science education"
"846734";"MSCA-IF-2018";"Individual Fellowships"
"699941";"MSCA-IF-2015-EF";"Marie Skłodowska-Curie Individual Fellowships (IF-EF)"
"844238";"MSCA-IF-2018";"Individual Fellowships"
"895004";"MSCA-IF-2019";"Individual Fellowships"
"821040";"JTI-CS2-2017-CfP07-AIR-02-54";"""Seals for FTB#2 Wing with Additive Manufacturing Technologies"""
"952396";"WIDESPREAD-05-2020";"Twinning"
"833617";"ERC-2018-ADG";"ERC Advanced Grant"
"657042";"MSCA-IF-2014-EF";"Marie Skłodowska-Curie Individual Fellowships (IF-EF)"
"788339";"SwafS-26-2017";"Science4Refugees - Support to highly skilled refugee scientists"
"642760";"MSCA-ITN-2014-EJD";"Marie Skłodowska-Curie Innovative Training Networks (ITN-EJD)"
"860960";"MSCA-ITN-2019";"Innovative Training Networks"
"657769";"MSCA-IF-2014-GF";"Marie Skłodowska-Curie Individual Fellowships (IF-GF)"
"899352";"FETOPEN-01-2018-2019-2020";"FET-Open Challenging Current Thinking"
"799693";"MSCA-IF-2017";"Individual Fellowships"
"801790";"ERC-2018-STG";"ERC Starting Grant"
"832513";"MSCA-IF-2018";"Individual Fellowships"
